id,name,provider,inputPrice,cachedInputPrice,outputPrice,contextWindow,features
43,GLM-4.7-Flash,智谱,0.00,,0.00,200000,tool_calls
44,mimo-v2-flash,小米,0.10,0.01,0.30,256000,
45,MiniMax-M2.5,MiniMax,0.29,0.03,1.17,131072,prefix_cache
46,MiniMax-M2.5-highspeed,MiniMax,0.58,0.03,2.33,131072,prefix_cache
47,MiniMax-M2.1,MiniMax,0.29,0.03,1.17,131072,prefix_cache
48,MiniMax-M2.1-highspeed,MiniMax,0.58,0.03,2.33,131072,prefix_cache
49,MiniMax-M2,MiniMax,0.29,0.03,1.17,131072,prefix_cache
50,M2-her,MiniMax,0.29,,1.17,131072,
51,doubao-seed-2.0-pro,火山方舟,0.44,0.09,2.22,256000,prefix_cache|tool_calls
52,doubao-seed-2.0-lite,火山方舟,0.08,0.02,0.50,256000,prefix_cache|tool_calls
53,doubao-seed-2.0-mini,火山方舟,0.03,0.01,0.28,256000,prefix_cache|tool_calls
54,doubao-seed-2.0-code,火山方舟,0.44,0.09,2.22,256000,prefix_cache|tool_calls
55,doubao-seed-1.8,火山方舟,0.11,0.02,0.28,256000,prefix_cache|tool_calls
56,doubao-seed-1.6,火山方舟,0.11,0.02,0.28,256000,prefix_cache|tool_calls
57,doubao-seed-1.6-lite,火山方舟,0.04,0.01,0.08,256000,prefix_cache|tool_calls
58,doubao-seed-1.6-flash,火山方舟,0.02,0.00,0.21,256000,prefix_cache|tool_calls
59,doubao-seed-1.6-vision,火山方舟,0.11,0.02,1.11,256000,prefix_cache|vision|tool_calls
60,doubao-seed-1.6-thinking,火山方舟,0.11,0.02,1.11,256000,prefix_cache|reasoning
61,doubao-seed-code,火山方舟,0.17,0.03,1.11,256000,prefix_cache|tool_calls
62,doubao-seed-translation,火山方舟,0.17,,0.50,131072,
63,doubao-1.5-thinking-pro,火山方舟,0.56,,2.22,131072,reasoning
64,doubao-1.5-thinking-vision-pro,火山方舟,0.42,,1.25,131072,vision|reasoning
65,doubao-1.5-pro-32k,火山方舟,0.11,0.02,0.28,32000,prefix_cache|tool_calls
66,doubao-1.5-lite-32k,火山方舟,0.04,0.01,0.08,32000,prefix_cache|tool_calls
67,doubao-1.5-vision-pro,火山方舟,0.42,,1.25,131072,vision
68,doubao-1.5-vision-lite,火山方舟,0.21,,0.63,131072,vision
69,doubao-1.5-ui-tars,火山方舟,0.49,,1.67,131072,
70,doubao-lite-32k,火山方舟,0.04,0.01,0.08,32000,prefix_cache|tool_calls
71,MiniMax-M2.5-Pro,硅基流动,0.21,0.02,0.84,192000,tool_calls|prefix_cache|reasoning
72,GLM-5-Pro,硅基流动,2.20,,,198000,tool_calls|prefix_cache|reasoning
73,Kimi-K2.5-Pro,硅基流动,0.40,0.07,2.10,256000,tool_calls|prefix_cache|vision|reasoning
74,GLM-4.7-Pro,硅基流动,1.60,,,198000,tool_calls|prefix_cache|reasoning
75,DeepSeek-V3.2,硅基流动,0.20,,0.30,160000,tool_calls|prefix_cache|reasoning
76,DeepSeek-V3.2-Pro,硅基流动,0.20,0.02,0.30,160000,tool_calls|prefix_cache|reasoning
77,DeepSeek-V3.1-Terminus,硅基流动,0.40,,1.20,160000,tool_calls|prefix_cache|reasoning
78,DeepSeek-V3.1-Terminus-Pro,硅基流动,0.40,,1.20,160000,tool_calls|prefix_cache|reasoning
79,DeepSeek-R1,硅基流动,0.40,,1.60,160000,tool_calls|prefix_cache|reasoning
80,DeepSeek-R1-Pro,硅基流动,0.40,,1.60,160000,tool_calls|prefix_cache|reasoning
81,PaddleOCR-VL-1.5,硅基流动,0.00,,0.00,,,vision|reasoning
82,DeepSeek-V3,硅基流动,0.20,,0.80,160000,tool_calls|prefix_cache|reasoning
83,DeepSeek-V3-Pro,硅基流动,0.20,,0.80,160000,tool_calls|prefix_cache|reasoning
84,MiniMax-M2.1-Pro,硅基流动,0.21,0.02,0.84,192000,tool_calls|prefix_cache|reasoning
85,Step-3.5-Flash,硅基流动,0.07,,0.21,256000,tool_calls|prefix_cache|reasoning
86,GLM-4.6V,硅基流动,0.10,,0.30,128000,tool_calls|prefix_cache|vision|reasoning
87,Kimi-K2-Thinking,硅基流动,0.40,,1.60,256000,tool_calls|prefix_cache|reasoning
88,Kimi-K2-Thinking-Pro,硅基流动,0.40,,1.60,256000,tool_calls|prefix_cache|reasoning
89,GLM-4.6,硅基流动,0.35,,1.40,198000,tool_calls|prefix_cache|reasoning
90,KAT-Dev,硅基流动,0.10,,0.40,128000,tool_calls|prefix_cache|reasoning
91,PaddleOCR-VL,硅基流动,0.00,,0.00,,,vision|reasoning
92,Qwen3-VL-32B-Instruct,硅基流动,0.10,,0.40,256000,tool_calls|prefix_cache|vision|reasoning
93,Qwen3-VL-32B-Thinking,硅基流动,0.10,,1.00,256000,tool_calls|prefix_cache|vision|reasoning
94,Qwen3-VL-8B-Instruct,硅基流动,0.05,,0.20,256000,tool_calls|prefix_cache|vision|reasoning
95,Qwen3-VL-8B-Thinking,硅基流动,0.05,,0.50,256000,tool_calls|prefix_cache|vision|reasoning
96,Qwen3-VL-30B-A3B-Instruct,硅基流动,0.07,,0.28,256000,tool_calls|prefix_cache|vision|reasoning
97,Qwen3-VL-30B-A3B-Thinking,硅基流动,0.07,,0.28,256000,tool_calls|prefix_cache|vision|reasoning
98,Qwen3-VL-235B-A22B-Instruct,硅基流动,0.25,,1.00,256000,tool_calls|prefix_cache|vision|reasoning
99,Qwen3-VL-235B-A22B-Thinking,硅基流动,0.25,,1.00,256000,tool_calls|prefix_cache|vision|reasoning
100,Qwen3-Omni-30B-A3B-Instruct,硅基流动,0.07,,0.28,64000,tool_calls|prefix_cache|vision|reasoning
101,Qwen3-Omni-30B-A3B-Thinking,硅基流动,0.07,,0.28,64000,tool_calls|prefix_cache|vision|reasoning
102,Qwen3-Omni-30B-A3B-Captioner,硅基流动,0.07,,0.28,64000,tool_calls|prefix_cache|vision|reasoning
103,DeepSeek-OCR,硅基流动,0.00,,0.00,8000,vision|reasoning
104,Kimi-K2-Instruct-0905,硅基流动,0.40,,1.60,256000,tool_calls|prefix_cache|reasoning
105,Kimi-K2-Instruct-0905-Pro,硅基流动,0.40,,1.60,256000,tool_calls|prefix_cache|reasoning
106,Qwen3-Next-80B-A3B-Instruct,硅基流动,0.10,,0.40,256000,tool_calls|prefix_cache|reasoning
107,Qwen3-Next-80B-A3B-Thinking,硅基流动,0.10,,0.40,256000,tool_calls|prefix_cache|reasoning
108,Ring-flash-2.0,硅基流动,0.10,,0.40,128000,prefix_cache|reasoning
109,Ling-flash-2.0,硅基流动,0.10,,0.40,128000,tool_calls|prefix_cache|reasoning
110,Ling-mini-2.0,硅基流动,0.05,,0.20,128000,tool_calls|prefix_cache|reasoning
111,Hunyuan-MT-7B,硅基流动,0.00,,0.00,32000,prefix_cache|reasoning
112,Seed-OSS-36B-Instruct,硅基流动,0.15,,0.40,256000,tool_calls|prefix_cache|reasoning
113,GLM-4.5V,硅基流动,0.10,,0.60,64000,tool_calls|vision|reasoning
114,GLM-4.5-Air,硅基流动,0.10,,0.60,128000,tool_calls|reasoning
115,Qwen3-Coder-30B-A3B-Instruct,硅基流动,0.07,,0.28,256000,tool_calls|prefix_cache|reasoning
116,Qwen3-Coder-480B-A35B-Instruct,硅基流动,0.80,,1.60,256000,tool_calls|prefix_cache|reasoning
117,Qwen3-30B-A3B-Thinking-2507,硅基流动,0.07,,0.28,256000,tool_calls|reasoning
118,Qwen3-30B-A3B-Instruct-2507,硅基流动,0.07,,0.28,256000,tool_calls|reasoning
119,Qwen3-235B-A22B-Thinking-2507,硅基流动,0.25,,1.00,256000,tool_calls|prefix_cache|reasoning
120,Qwen3-235B-A22B-Instruct-2507,硅基流动,0.25,,1.00,256000,tool_calls|prefix_cache|reasoning
121,GLM-4.1V-9B-Thinking,硅基流动,0.00,,0.00,64000,vision|reasoning
122,ERNIE-4.5-300B-A47B,硅基流动,0.20,,0.80,128000,reasoning
123,Hunyuan-A13B-Instruct,硅基流动,0.10,,0.40,128000,reasoning
124,DeepSeek-R1-0528-Qwen3-8B,硅基流动,0.00,,0.00,128000,reasoning
125,Qwen3-32B,硅基流动,0.10,,0.40,128000,tool_calls|reasoning
126,Qwen3-14B,硅基流动,0.05,,0.20,128000,tool_calls|reasoning
127,Qwen3-8B,硅基流动,0.00,,0.00,128000,tool_calls|reasoning
128,Qwen3-Reranker-8B,硅基流动,0.03,,,32000,reasoning
129,Qwen3-Embedding-8B,硅基流动,0.03,,,32000,reasoning
130,Qwen3-Reranker-4B,硅基流动,0.01,,,32000,reasoning
131,Qwen3-Embedding-4B,硅基流动,0.01,,,32000,reasoning
132,Qwen3-Reranker-0.6B,硅基流动,0.01,,,32000,reasoning
133,Qwen3-Embedding-0.6B,硅基流动,0.01,,,32000,reasoning
134,pangu-pro-moe,硅基流动,0.10,,0.40,128000,reasoning
135,GLM-Z1-32B-0414,硅基流动,0.10,,0.40,128000,tool_calls|reasoning
136,GLM-4-32B-0414,硅基流动,0.19,,0.19,32000,tool_calls|reasoning
137,GLM-Z1-9B-0414,硅基流动,0.00,,0.00,128000,tool_calls|reasoning
138,GLM-4-9B-0414,硅基流动,0.00,,0.00,32000,tool_calls|reasoning
139,Qwen2.5-VL-32B-Instruct,硅基流动,0.19,,0.19,128000,prefix_cache|vision|reasoning
140,QwQ-32B,硅基流动,0.10,,0.40,128000,tool_calls|reasoning
141,Qwen2.5-VL-72B-Instruct,硅基流动,0.41,,0.41,128000,prefix_cache|vision|reasoning
142,Qwen2.5-VL-7B-Instruct-Pro,硅基流动,0.04,,0.04,32000,prefix_cache|vision|reasoning
143,DeepSeek-R1-Distill-Qwen-32B,硅基流动,0.13,,0.13,128000,tool_calls|prefix_cache|reasoning
144,DeepSeek-R1-Distill-Qwen-14B,硅基流动,0.07,,0.07,128000,tool_calls|prefix_cache|reasoning
145,DeepSeek-R1-Distill-Qwen-7B,硅基流动,0.00,,0.00,128000,tool_calls|prefix_cache|reasoning
146,DeepSeek-V2.5,硅基流动,0.13,,0.13,32000,tool_calls|prefix_cache|reasoning
147,bge-m3,硅基流动,0.00,,,8000,reasoning
148,bge-reranker-v2-m3,硅基流动,0.00,,,8000,reasoning
149,bce-embedding-base_v1,硅基流动,0.00,,,1000,reasoning
150,bce-reranker-base_v1,硅基流动,0.00,,,1000,reasoning
151,Qwen2.5-Coder-32B-Instruct,硅基流动,0.13,,0.13,32000,tool_calls|prefix_cache|reasoning
152,Qwen2-VL-72B-Instruct,硅基流动,0.41,,0.41,32000,prefix_cache|vision|reasoning
153,Qwen2.5-72B-Instruct-128K,硅基流动,0.41,,0.41,128000,tool_calls|prefix_cache|reasoning
154,deepseek-vl2,硅基流动,0.10,,0.10,4000,prefix_cache|vision|reasoning
155,Qwen2.5-72B-Instruct,硅基流动,0.41,,0.41,32000,tool_calls|prefix_cache|reasoning
156,Qwen2.5-32B-Instruct,硅基流动,0.13,,0.13,32000,tool_calls|prefix_cache|reasoning
157,Qwen2.5-14B-Instruct,硅基流动,0.07,,0.07,32000,tool_calls|prefix_cache|reasoning
158,Qwen2.5-7B-Instruct,硅基流动,0.00,,0.00,32000,tool_calls|prefix_cache|reasoning
159,Qwen2.5-Coder-7B-Instruct,硅基流动,0.00,,0.00,32000,prefix_cache|reasoning
160,internlm2_5-7b-chat,硅基流动,0.00,,0.00,32000,tool_calls|prefix_cache|reasoning
161,Qwen2-7B-Instruct,硅基流动,0.00,,0.00,32000,prefix_cache|reasoning
162,glm-4-9b-chat,硅基流动,0.00,,0.00,128000,tool_calls|prefix_cache|reasoning
163,bge-large-zh-v1.5,硅基流动,0.00,,,1000,reasoning
164,bge-large-en-v1.5,硅基流动,0.00,,,1000,reasoning
165,Qwen2.5-Coder-7B-Instruct-Pro,硅基流动,0.04,,0.04,32000,prefix_cache|reasoning
166,bge-m3-Pro,硅基流动,0.01,,,8000,reasoning
167,bge-reranker-v2-m3-Pro,硅基流动,0.01,,,8000,reasoning
168,Qwen2.5-7B-Instruct-Pro,硅基流动,0.04,,0.04,32000,tool_calls|prefix_cache|reasoning
169,Qwen2-7B-Instruct-Pro,硅基流动,0.04,,0.04,32000,prefix_cache|reasoning
170,glm-4-9b-chat-Pro,硅基流动,0.06,,0.06,128000,tool_calls|prefix_cache|reasoning
